trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
Almassora - Platja 9am,12,12,10:12:00,10:12:00,,,,,,
Almassora - Platja 9am,13,13,10:13:00,10:13:00,,,,,,
Almassora - Platja 9am,14,14,10:18:00,10:18:00,,,,,,
Almassora - Platja 9am,15,15,10:25:00,10:25:00,,,,,,
Almassora - Platja 10am,01,1,09:46:00,09:46:00,,,,,,
Almassora - Platja 10am,02,2,09:51:00,09:51:00,,,,,,
Almassora - Platja 10am,03,3,09:54:00,09:54:00,,,,,,
Almassora - Platja 10am,04,4,09:57:00,09:57:00,,,,,,
Almassora - Platja 10am,05,5,10:00:00,10:00:00,,,,,,
Almassora - Platja 10am,06,6,10:05:00,10:05:00,,,,,,
Almassora - Platja 10am,07,7,10:06:00,10:06:00,,,,,,
Almassora - Platja 10am,08,8,10:08:00,10:08:00,,,,,,
Almassora - Platja 10am,09,9,10:09:00,10:09:00,,,,,,
Almassora - Platja 10am,10,10,10:11:00,10:11:00,,,,,,
Almassora - Platja 10am,11,11,10:12:00,10:12:00,,,,,,
Almassora - Platja 10am,12,12,10:13:00,10:13:00,,,,,,
Almassora - Platja 10am,13,13,10:14:00,10:14:00,,,,,,
Almassora - Platja 10am,14,14,10:19:00,10:19:00,,,,,,
Almassora - Platja 10am,15,15,10:26:00,10:26:00,,,,,,
Almassora - Platja 11am,01,1,09:47:00,09:47:00,,,,,,
Almassora - Platja 11am,02,2,09:52:00,09:52:00,,,,,,
Almassora - Platja 11am,03,3,09:55:00,09:55:00,,,,,,
Almassora - Platja 11am,04,4,09:58:00,09:58:00,,,,,,
Almassora - Platja 11am,05,5,10:01:00,10:01:00,,,,,,
Almassora - Platja 11am,06,6,10:06:00,10:06:00,,,,,,
Almassora - Platja 11am,07,7,10:07:00,10:07:00,,,,,,
Almassora - Platja 11am,08,8,10:09:00,10:09:00,,,,,,
Almassora - Platja 11am,09,9,10:10:00,10:10:00,,,,,,
Almassora - Platja 11am,10,10,10:12:00,10:12:00,,,,,,
Almassora - Platja 11am,11,11,10:13:00,10:13:00,,,,,,
Almassora - Platja 11am,12,12,10:14:00,10:14:00,,,,,,
Almassora - Platja 11am,13,13,10:15:00,10:15:00,,,,,,
Almassora - Platja 11am,14,14,10:20:00,10:20:00,,,,,,
Almassora - Platja 11am,15,15,10:27:00,10:27:00,,,,,,
Almassora - Platja 12am,01,1,09:48:00,09:48:00,,,,,,
Almassora - Platja 12am,02,2,09:53:00,09:53:00,,,,,,
Almassora - Platja 12am,03,3,09:56:00,09:56:00,,,,,,
Almassora - Platja 12am,04,4,09:59:00,09:59:00,,,,,,
Almassora - Platja 12am,05,5,10:02:00,10:02:00,,,,,,
Almassora - Platja 12am,06,6,10:07:00,10:07:00,,,,,,
Almassora - Platja 12am,07,7,10:08:00,10:08:00,,,,,,
Almassora - Platja 12am,08,8,10:10:00,10:10:00,,,,,,
Almassora - Platja 12am,09,9,10:11:00,10:11:00,,,,,,
Almassora - Platja 12am,10,10,10:13:00,10:13:00,,,,,,
Almassora - Platja 12am,11,11,10:14:00,10:14:00,,,,,,
Almassora - Platja 12am,12,12,10:15:00,10:15:00,,,,,,
Almassora - Platja 12am,13,13,10:16:00,10:16:00,,,,,,
Almassora - Platja 12am,14,14,10:21:00,10:21:00,,,,,,
Almassora - Platja 12am,15,15,10:28:00,10:28:00,,,,,,
Almassora - Platja 18pm,01,1,18:30:15,18:30:15,,,,,,
Almassora - Platja 18pm,02,2,18:35:15,18:35:15,,,,,,
Almassora - Platja 18pm,03,3,18:40:15,18:40:15,,,,,,
Almassora - Platja 18pm,04,4,18:41:15,18:41:15,,,,,,
Almassora - Platja 18pm,05,5,18:44:15,18:44:15,,,,,,
Almassora - Platja 18pm,06,6,18:49:15,18:49:15,,,,,,
Almassora - Platja 18pm,07,7,18:50:15,18:50:15,,,,,,
Almassora - Platja 18pm,08,8,18:52:15,18:52:15,,,,,,
Almassora - Platja 18pm,09,9,18:53:15,18:53:15,,,,,,
Almassora - Platja 18pm,10,10,18:55:15,18:55:15,,,,,,
Almassora - Platja 18pm,11,11,18:56:15,18:56:15,,,,,,
Almassora - Platja 18pm,12,12,18:57:15,18:57:15,,,,,,
Almassora - Platja 18pm,13,13,18:58:15,18:58:15,,,,,,
Almassora - Platja 18pm,14,14,19:03:15,19:03:15,,,,,,
Almassora - Platja 18pm,15,15,19:15:15,19:15:15,,,,,,
